unit	age	geo	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 
PC	Y25-34	AL	: 	: 	1.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC	Y25-34	AT	: 	: 	13.0 	: 	: 	: 	14.1 	: 	: 	: 	14.8 	: 	: 	: 
PC	Y25-34	BE	3.4	3.8	3.4 	2.7 	2.1 	1.7 	1.1 	1.7 	2.4 	3.0 	3.5 	3.4 	3.6 	3.6 
PC	Y25-34	BG	14.6	16	15.8 	15.5 	15.3 	15.6 	13.7 	13.2 	13.9 	11.6 	11.1 	11.1 	10.0 	9.6 
PC	Y25-34	CH	7.2	7.4	7.4 	9.1 	8.4 	8.5 	7.6 	7.8 	7.7 	7.8 	6.6 	6.7	6.8	: 
PC	Y25-34	CY	4.0	4.3	4.2 	2.9 	1.6 	0.3 	-0.9 	-0.9 	-0.8 	-0.7 	-0.6 	9.4 	11.0 	: 
PC	Y25-34	CZ	11.2	13.4	13.6	13.6	13.4	13.3	12.9 	12.5 	13.3 	14.2 	13.3 	18.0 	19.6 	: 
PC	Y25-34	DE	: 	: 	9.9 	: 	: 	: 	11.9 	: 	: 	: 	11.5 	: 	: 	: 
PC	Y25-34	DK	10.9 	10.9 	11.1 	10.8 	10.9 	11.1 	11.7 	12.1 	13.3 	12.8 	14.2 	13.8 	14.9 	: 
PC	Y25-34	EE	: 	: 	19.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC	Y25-34	EL	: 	: 	1.6 	: 	: 	: 	2.1 	: 	: 	: 	3.0 	: 	: 	: 
PC	Y25-34	ES	1.0	1.0 	4.6 	5.0 	6.7 	7.0 	6.6 	9.9 	11.8 	10.4 	8.7 	10.0 	10.3 	11.6 
PC	Y25-34	FI	9.9 	10.0 	10.1 	10.9 	11.0 	10.9 	11.6 	13.1 	13.3 	13.3 	14.1 	14.8 	15.6 	: 
PC	Y25-34	FR	10.3	10.7	10.7 	10.1 	9.5 	8.9 	8.4 	8.9 	8.4 	8.8 	9.0 	7.9 	: 	: 
PC	Y25-34	HR	10.3	8.9	8.9 	9.3 	7.3 	: 	1.7 	-3.4 	: 	: 	1.1 	: 	: 	: 
PC	Y25-34	HU	14.8 	16.1	11.4 	12.4	10.5 	9.1 	10.2 	9.6 	12.6 	8.9 	8.1 	8.9 	10.2 	11.2 
PC	Y25-34	IE	: 	: 	5.7 	3	2	0.4	2.5 	3.0 	1.3 	1.7 	3.6 	3.3 	3.0 	: 
PC	Y25-34	IS	7.2	7.7	6.8 	7.0 	7.1 	9.8 	9.6 	12.9 	9.8 	11.0 	11.6 	11.4 	14.2 	17.7 
PC	Y25-34	IT	4.3	4.6	5.8 	4.3	5.1	4.8	6.2 	4.2 	6.6 	6.6 	3.9 	2.7 	2.8 	1.3 
PC	Y25-34	LT	14.0	12.9	13.1 	14.5 	17.0 	16.5 	13.1 	11.5 	10.7 	9.8 	9	13.9 	20.3 	22.6 
PC	Y25-34	LU	: 	: 	-8.9 	: 	: 	: 	-5.0 	: 	: 	: 	-3.2 	-1.8 	-0.4 	1.1 
PC	Y25-34	LV	21.2	19.8	18.7	18.8	17.2	16.4	14.7 	: 	: 	: 	15.8 	: 	: 	: 
PC	Y25-34	ME	: 	: 	: 	: 	: 	: 	1.8 	: 	: 	: 	: 	: 	: 	: 
PC	Y25-34	MK	: 	: 	: 	: 	: 	: 	5.3 	: 	: 	: 	: 	: 	: 	: 
PC	Y25-34	MT	5.8	7.2	9.5 	7.9 	8.2 	7.6 	5.8 	6.6 	5.2 	3.5 	5.1 	4.1 	3.0 	1.9 
PC	Y25-34	NL	1.7	1.9	1.1 	0.8 	0.8 	1.1 	-0.8 	0.0 	1.8 	3.2 	4.3 	5.8 	6.8 	7.0 
PC	Y25-34	NO	6.8	6.7	8.0 	7.9 	8.2 	9.5 	8.3 	8.5 	7.9 	9.6 	9.7 	10.0 	11.1 	: 
PC	Y25-34	PL	7.2 	9.1 	11.0 	8.4 	8.6 	9.2 	9.8 	8.1	6.3 	5.6 	4.8 	7.8 	10.8 	13.8 
PC	Y25-34	PT	9.3	9.0	4.7 	5.4 	5.7 	7.2 	5.3 	4.5 	5.7 	6.2 	6.1 	4.2 	4.7 	3.6 
PC	Y25-34	RO	8.1	8.1	8.4 	6.6	4.8	2.9	1.1 	1.5 	1.7 	2.2 	2.6 	5.1	5.2	5.4
PC	Y25-34	RS	: 	: 	9.6 	: 	: 	: 	6.9 	: 	: 	: 	: 	: 	: 	: 
PC	Y25-34	SE	7.0 	7.4 	8.0 	8.4 	8.6 	9.5 	9.2 	9.4 	10.0 	9.9 	10.2 	10.1 	11.6 	: 
PC	Y25-34	SI	5.4	9.7	10.3 	8.7 	7.6 	7.4 	6.3 	3.8 	1.4 	-1.2 	-4.0 	-5.5 	-1.2 	-0.3 
PC	Y25-34	SK	11.5 	14.1 	15.9 	15.7 	13.4 	14.5 	13.2 	13.2 	15.3 	15.1 	16.2 	17.5 	19.2 	: 
PC	Y25-34	TR	: 	: 	: 	: 	: 	: 	-12.3 	: 	: 	: 	: 	: 	: 	: 
PC	Y25-34	UK	: 	: 	10.0 	11.6 	11.0 	9.7 	8.5 	7.2 	8.8 	7.2 	10.2	7.6 	9.1 	8.9 
PC	Y35-44	AL	: 	: 	7.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC	Y35-44	AT	: 	: 	18.9 	: 	: 	: 	22.0 	: 	: 	: 	25.2 	: 	: 	: 
PC	Y35-44	BE	4.9	5.4	5.4 	5.3 	5.4 	5.6 	5.7 	6.7 	7.7 	8.8 	9.7 	9.7 	9.9 	9.9 
PC	Y35-44	BG	17.6	18.9	18.8 	19.3 	19.8 	20.9 	19.9 	19.9 	20.9 	19.3 	19.2 	19.4 	18.5 	18.4 
PC	Y35-44	CH	16.0	16.2	16.2 	17.7 	17.0 	17.5 	15.7 	16.0 	15.8 	16.0 	17.1 	18.1	18.2	: 
PC	Y35-44	CY	6.6	7.3	7.2 	7.6 	8.4 	9.4 	10.8 	11.4 	11.9 	12.3 	13.0 	23.6 	24.6 	: 
PC	Y35-44	CZ	21.1	23.7	25	26.2	27.1	28.1	28.3 	28.5 	29.2 	30.0 	29.7 	32.6 	32.7 	: 
PC	Y35-44	DE	: 	: 	18.7 	: 	: 	: 	21.9 	: 	: 	: 	23.6 	: 	: 	: 
PC	Y35-44	DK	14.2 	14.9 	16.1 	16.1 	16.3 	16.6 	17.6 	18.0 	18.5 	18.6 	19.0 	19.0 	19.7 	: 
PC	Y35-44	EE	: 	: 	25.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC	Y35-44	EL	: 	: 	9.0 	: 	: 	: 	8.4 	: 	: 	: 	10.9 	: 	: 	: 
PC	Y35-44	ES	7.6	7.6 	9.7 	10.4 	11.9 	10.1 	11.5 	15.9 	15.9 	15.4 	13.1 	15.8 	15.8 	16.7 
PC	Y35-44	FI	16.5 	17.2 	17.4 	18.1 	18.5 	18.7 	19.6 	19.8 	20.4 	20.5 	21.3 	21.8 	21.8 	: 
PC	Y35-44	FR	12.7	13.1	13.5 	13.3 	13.1 	12.9 	13.2 	13.6 	13.3 	13.7 	13.7 	13.2 	: 	: 
PC	Y35-44	HR	14.1	12.8	12.7 	14.0 	11.9 	: 	13.4 	9.3 	: 	: 	10.0 	: 	: 	: 
PC	Y35-44	HU	22.2 	22.8	20.3 	21.2	19.7 	19.2 	19.9 	21.3 	25.0 	23.2 	22.9 	23.0 	24.3 	22.4 
PC	Y35-44	IE	: 	: 	15.0 	13	12.9	12.8	12.0 	12.1 	11.9 	13.3 	14.1 	12.7 	15.1 	: 
PC	Y35-44	IS	12.8	14.2	16.2 	18.0 	18.1 	18.6 	18.8 	22.5 	22.1 	22.1 	20.4 	20.7 	25.1 	30.8 
PC	Y35-44	IT	3.3	4.6	4.8 	6.2	5.7	5.6	6.3 	9.0 	7.4 	5.7 	4.8 	6.2 	5.8 	7.0 
PC	Y35-44	LT	17.5	16.9	18.0 	19.8 	19.4 	20.0 	18.8 	17.5 	17.0 	16.5 	17.2	19.1 	25.0 	25.0 
PC	Y35-44	LU	: 	: 	-3.9 	: 	: 	: 	0.5 	: 	: 	: 	6.5 	6.6 	6.8 	6.9 
PC	Y35-44	LV	23.8	23.1	21.8	22.9	23.5	24	22.7 	: 	: 	: 	18.6 	: 	: 	: 
PC	Y35-44	ME	: 	: 	: 	: 	: 	: 	6.6 	: 	: 	: 	: 	: 	: 	: 
PC	Y35-44	MK	: 	: 	: 	: 	: 	: 	9.0 	: 	: 	: 	: 	: 	: 	: 
PC	Y35-44	MT	12.3	14.3	15.4 	15.1 	15.3 	14.4 	13.2 	12.2 	11.4 	10.2 	10.2 	7.6 	8.6 	4.7 
PC	Y35-44	NL	8.0	8.6	10.4 	10.3 	10.4 	10.9 	14.1 	14.3 	15.2 	16.1 	16.4 	17.6 	18.4 	18.5 
PC	Y35-44	NO	13.1	12.8	10.8 	12.0 	13.4 	15.6 	14.2 	15.0 	14.8 	16.1 	16.5 	16.7 	17.5 	: 
PC	Y35-44	PL	9.4 	11.5 	13.6 	11.7 	11.8 	12.5 	13.1 	12.2	11.2 	10.1 	9.0 	12.0 	15.0 	18.0 
PC	Y35-44	PT	11.5	11.4	9.8 	10.9 	12.6 	13.9 	12.0 	11.4 	13.8 	13.8 	15.6 	11.7 	11.8 	12.5 
PC	Y35-44	RO	4.4	4.5	4.5 	5.1	5.6	6.1	6.7 	7.6 	8.5 	9.4 	10.5 	12.1	12.2	12.3
PC	Y35-44	RS	: 	: 	13.0 	: 	: 	: 	9.3 	: 	: 	: 	: 	: 	: 	: 
PC	Y35-44	SE	11.4 	12.4 	12.6 	13.2 	14.8 	15.6 	15.7 	16.7 	17.4 	17.5 	16.9 	17.4 	18.6 	: 
PC	Y35-44	SI	6.5	10.6	12.0 	10.8 	10.6 	10.6 	9.1 	8.9 	7.5 	5.9 	3.9 	2.3 	7.3 	7.4 
PC	Y35-44	SK	20.1 	22.3 	24.0 	24.4 	24.2 	24.6 	25.8 	24.3 	26.9 	26.2 	27.5 	29.5 	26.0 	: 
PC	Y35-44	TR	: 	: 	: 	: 	: 	: 	-6.8 	: 	: 	: 	: 	: 	: 	: 
PC	Y35-44	UK	: 	: 	18.6 	20.1 	21.6 	21.4 	21.5 	22.1 	25.6 	22.7 	26.6	22.7 	23.9 	22.9 
PC	Y45-54	AL	: 	: 	10.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC	Y45-54	AT	: 	: 	25.3 	: 	: 	: 	26.7 	: 	: 	: 	28.5 	: 	: 	: 
PC	Y45-54	BE	4.7	5.2	5.4 	5.7 	6.3 	7.1 	7.6 	8.7 	9.8 	10.8 	11.9 	11.9 	12.1 	12.1 
PC	Y45-54	BG	15.0	16.4	16.2 	16.8 	17.3 	18.5 	17.5 	17.6 	18.8 	17.4 	17.5 	16.5 	14.5 	13.3 
PC	Y45-54	CH	23.7	23.9	23.9 	23.7 	23.1 	23.3 	22.5 	22.6 	22.5 	22.6 	22.4 	22.9	22.9	: 
