geo,year,percent,age
AL,2020,:,Y25-34
AT,2020,:,Y25-34
BE,2020,3.4,Y25-34
BG,2020,14.6,Y25-34
CH,2020,7.2,Y25-34
CY,2020,4,Y25-34
CZ,2020,11.2,Y25-34
DE,2020,:,Y25-34
DK,2020,10.9,Y25-34
EE,2020,:,Y25-34
EL,2020,:,Y25-34
ES,2020,1,Y25-34
FI,2020,9.9,Y25-34
FR,2020,10.3,Y25-34
HR,2020,10.3,Y25-34
HU,2020,14.8,Y25-34
IE,2020,:,Y25-34
IS,2020,7.2,Y25-34
IT,2020,4.3,Y25-34
LT,2020,14,Y25-34
LU,2020,:,Y25-34
LV,2020,21.2,Y25-34
ME,2020,:,Y25-34
MK,2020,:,Y25-34
MT,2020,5.8,Y25-34
NL,2020,1.7,Y25-34
NO,2020,6.8,Y25-34
PL,2020,7.2,Y25-34
PT,2020,9.3,Y25-34
RO,2020,8.1,Y25-34
RS,2020,:,Y25-34
SE,2020,7,Y25-34
SI,2020,5.4,Y25-34
SK,2020,11.5,Y25-34
TR,2020,:,Y25-34
UK,2020,:,Y25-34
AL,2020,:,Y35-44
AT,2020,:,Y35-44
BE,2020,4.9,Y35-44
BG,2020,17.6,Y35-44
CH,2020,16,Y35-44
CY,2020,6.6,Y35-44
CZ,2020,21.1,Y35-44
DE,2020,:,Y35-44
DK,2020,14.2,Y35-44
EE,2020,:,Y35-44
EL,2020,:,Y35-44
ES,2020,7.6,Y35-44
FI,2020,16.5,Y35-44
FR,2020,12.7,Y35-44
HR,2020,14.1,Y35-44
HU,2020,22.2,Y35-44
IE,2020,:,Y35-44
IS,2020,12.8,Y35-44
IT,2020,3.3,Y35-44
LT,2020,17.5,Y35-44
LU,2020,:,Y35-44
LV,2020,23.8,Y35-44
ME,2020,:,Y35-44
MK,2020,:,Y35-44
MT,2020,12.3,Y35-44
NL,2020,8,Y35-44
NO,2020,13.1,Y35-44
PL,2020,9.4,Y35-44
PT,2020,11.5,Y35-44
RO,2020,4.4,Y35-44
RS,2020,:,Y35-44
SE,2020,11.4,Y35-44
SI,2020,6.5,Y35-44
SK,2020,20.1,Y35-44
TR,2020,:,Y35-44
UK,2020,:,Y35-44
AL,2020,:,Y45-54
AT,2020,:,Y45-54
BE,2020,4.7,Y45-54
BG,2020,15,Y45-54
CH,2020,23.7,Y45-54
CY,2020,12.7,Y45-54
CZ,2020,19.6,Y45-54
DE,2020,:,Y45-54
DK,2020,17.2,Y45-54
EE,2020,:,Y45-54
EL,2020,:,Y45-54
ES,2020,12.2,Y45-54
FI,2020,19.8,Y45-54
FR,2020,18.4,Y45-54
HR,2020,19.8,Y45-54
HU,2020,18.3,Y45-54
IE,2020,:,Y45-54
IS,2020,19,Y45-54
IT,2020,5.9,Y45-54
LT,2020,11,Y45-54
LU,2020,:,Y45-54
LV,2020,19,Y45-54
ME,2020,:,Y45-54
MK,2020,:,Y45-54
MT,2020,12.4,Y45-54
NL,2020,18.6,Y45-54
NO,2020,17,Y45-54
PL,2020,5.5,Y45-54
PT,2020,15,Y45-54
RO,2020,-1.2,Y45-54
RS,2020,:,Y45-54
SE,2020,14.8,Y45-54
SI,2020,5.8,Y45-54
SK,2020,17.7,Y45-54
TR,2020,:,Y45-54
UK,2020,:,Y45-54
AL,2020,:,Y55-64
AT,2020,:,Y55-64
BE,2020,8.9,Y55-64
BG,2020,5.1,Y55-64
CH,2020,25.7,Y55-64
CY,2020,9.1,Y55-64
CZ,2020,9.8,Y55-64
DE,2020,:,Y55-64
DK,2020,16.6,Y55-64
EE,2020,:,Y55-64
EL,2020,:,Y55-64
ES,2020,15.7,Y55-64
FI,2020,19.7,Y55-64
FR,2020,21.2,Y55-64
HR,2020,9.9,Y55-64
HU,2020,12.7,Y55-64
IE,2020,:,Y55-64
IS,2020,20.3,Y55-64
IT,2020,8.9,Y55-64
LT,2020,8.9,Y55-64
LU,2020,:,Y55-64
LV,2020,15.9,Y55-64
ME,2020,:,Y55-64
MK,2020,:,Y55-64
MT,2020,9.3,Y55-64
NL,2020,20.1,Y55-64
NO,2020,19.1,Y55-64
PL,2020,-6.8,Y55-64
PT,2020,9.9,Y55-64
RO,2020,-5.4,Y55-64
RS,2020,:,Y55-64
SE,2020,14.3,Y55-64
SI,2020,1.3,Y55-64
SK,2020,13.1,Y55-64
TR,2020,:,Y55-64
UK,2020,:,Y55-64
AL,2020,:,Y_GE65
AT,2020,:,Y_GE65
BE,2020,:,Y_GE65
BG,2020,-14,Y_GE65
CH,2020,28,Y_GE65
CY,2020,23,Y_GE65
CZ,2020,8.5,Y_GE65
DE,2020,:,Y_GE65
DK,2020,9.6,Y_GE65
EE,2020,:,Y_GE65
EL,2020,:,Y_GE65
ES,2020,32.5,Y_GE65
FI,2020,24.3,Y_GE65
FR,2020,25.9,Y_GE65
HR,2020,6.6,Y_GE65
HU,2020,19.5,Y_GE65
IE,2020,:,Y_GE65
IS,2020,18.1,Y_GE65
IT,2020,14.9,Y_GE65
LT,2020,7.6,Y_GE65
LU,2020,:,Y_GE65
LV,2020,13.1,Y_GE65
ME,2020,:,Y_GE65
MK,2020,:,Y_GE65
MT,2020,14.2,Y_GE65
NL,2020,14.5,Y_GE65
NO,2020,16.2,Y_GE65
PL,2020,9.1,Y_GE65
PT,2020,25.6,Y_GE65
RO,2020,-17.8,Y_GE65
RS,2020,:,Y_GE65
SE,2020,10.3,Y_GE65
SI,2020,3.9,Y_GE65
SK,2020,12.7,Y_GE65
TR,2020,:,Y_GE65
UK,2020,:,Y_GE65
AL,2020,:,Y_LT25
AT,2020,:,Y_LT25
BE,2020,0.4,Y_LT25
BG,2020,6.6,Y_LT25
CH,2020,3.7,Y_LT25
CY,2020,17,Y_LT25
CZ,2020,5.7,Y_LT25
DE,2020,:,Y_LT25
DK,2020,4.4,Y_LT25
EE,2020,:,Y_LT25
EL,2020,:,Y_LT25
ES,2020,-3,Y_LT25
FI,2020,5.9,Y_LT25
FR,2020,3.2,Y_LT25
HR,2020,5.7,Y_LT25
HU,2020,7.1,Y_LT25
IE,2020,:,Y_LT25
IS,2020,-0.9,Y_LT25
IT,2020,4.5,Y_LT25
